model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M4_block_alpha_full_response,1,-1.1189914368,1.2521418356317284,FALSE,group_mu_alpha_stable_raw,mu_alpha_raw[1],-2.6426495368,-2.6373991500000002,-3.4689984849999997,-1.8005909450000006,1.002584000639055,1356.8718086479887,2080.574152601221,-1.5236581
M4_block_alpha_full_response,1,-0.16346523319499995,0.026720882463495712,TRUE,group_mu_alpha_volatile_raw,mu_alpha_raw[2],-1.771134733195,-1.7694986,-2.50614427,-1.0403225250000003,1.0039560566396315,1390.7421298446989,2226.600434661051,-1.6076695
M4_block_alpha_full_response,1,0.06130217044999986,0.003757956101880836,TRUE,group_sigma_alpha_stable_raw,sigma_alpha_raw[1],2.53026017045,2.5038289000000002,2.0186306750000003,3.13948797,1.000176570613031,2418.815595938104,3134.8058616234784,2.468958
M4_block_alpha_full_response,1,-0.6797336171999997,0.4620377903517957,FALSE,group_sigma_alpha_volatile_raw,sigma_alpha_raw[2],2.5262322828,2.49701975,1.99789501,3.1428498799999995,1.0008175479755037,2857.065873124407,2886.457720307515,3.2059659
M4_block_alpha_full_response,1,0.15390620661233,0.023687120433797212,TRUE,group_mu_beta_raw,mu_beta_raw,0.49216261661233,0.50052114,0.18240493650000003,0.7728004899999995,1.0049396784051177,1009.0565744419522,1460.094240721521,0.33825641
M4_block_alpha_full_response,1,-0.25907407668499993,0.06711937721018522,TRUE,group_sigma_beta_raw,sigma_beta_raw,1.256436523315,1.2446521000000002,1.027183985,1.5211858200000001,1.0027392224344724,1185.4047926552837,2090.874658367962,1.5155106
M4_block_alpha_full_response,1,-0.8612259981996871,0.7417102199750475,FALSE,alpha_stable,"alpha[1,1]",0.11692695180031283,0.032276728000000005,0.002119520155,0.6731205509999993,1.001542564267371,5166.60423118831,2613.448817230113,0.97815295
M4_block_alpha_full_response,1,-0.30237970842629247,0.09143348806796965,TRUE,alpha_stable,"alpha[2,1]",0.1288550715737075,0.063926786,0.001649086815,0.496065512999999,1.000567383790247,5851.003204827467,2502.2131323142385,0.43123478
M4_block_alpha_full_response,1,-0.03507255939364751,0.001230084422420932,TRUE,alpha_stable,"alpha[3,1]",0.17750749060635249,0.126439165,0.01082554835,0.5451032170000001,1.001460516344338,5509.840552284781,2746.652414787059,0.21258005
M4_block_alpha_full_response,1,-0.1735675486385,0.03012569394037806,TRUE,alpha_stable,"alpha[4,1]",0.7575539913615,0.779753385,0.45105611,0.9800541915,1.0022256853576272,5079.758330976062,2271.38893769087,0.93112154
M4_block_alpha_full_response,1,-0.498467058966636,0.24846940887484778,FALSE,alpha_stable,"alpha[5,1]",0.044724541033363964,0.009346483400000001,3.28785639e-4,0.20397308399999997,1.0009510634449175,5105.000132188285,2802.241354026839,0.5431916
