model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M7_single_alpha_full_response,1,-1.05136387870845,1.1053660054528764,FALSE,group_mu_alpha_general_raw,mu_alpha_raw[1],-1.92530269870845,-1.9359600499999998,-2.67595334,-1.17059438,1.0009625711795909,1046.7824132481592,1628.4450260839583,-0.87393882
M7_single_alpha_full_response,1,-0.336041157675,0.1129236596515542,TRUE,group_sigma_alpha_general_raw,sigma_alpha_raw[1],2.603243842325,2.58585545,2.10504949,3.1675091549999994,1.0014839645812732,2530.6638136724864,2798.590338664563,2.939285
M7_single_alpha_full_response,1,0.1189113509442265,0.014139909383380996,TRUE,group_mu_beta_raw,mu_beta_raw,0.3169834009442265,0.3191362,-0.0663567385,0.672555037,1.0015385694683747,760.9063318569525,1630.9716672588431,0.19807205
M7_single_alpha_full_response,1,-0.030400413302499985,9.24185128962818e-4,TRUE,group_sigma_beta_raw,sigma_beta_raw,1.5442447866975,1.52740775,1.2662365450000002,1.8738897799999998,1.0013206725135564,1184.160876161345,2157.8682252462795,1.5746452
M7_single_alpha_full_response,1,-0.03358391436793251,0.0011278793042726236,TRUE,alpha_general,"alpha[1,1]",0.4546544856320675,0.44046500499999997,0.05685742630000001,0.9051133874999999,1.0015659752279609,5523.7071846405415,2340.837889585212,0.4882384
M7_single_alpha_full_response,1,-0.6533963065980323,0.4269267334759498,TRUE,alpha_general,"alpha[2,1]",0.23813892340196774,0.09306904299999999,0.002837430415,0.9131001784999999,1.0017336685563984,5339.649911261704,2854.8475581670828,0.89153523
M7_single_alpha_full_response,1,0.0034252320643965726,1.1732214694970407e-5,TRUE,alpha_general,"alpha[3,1]",0.004533954564396573,0.0034621666000000002,2.715030965e-4,0.012148504249999997,1.0022440044253755,5276.2588084380395,2602.7856817106713,0.0011087225
M7_single_alpha_full_response,1,-0.1669801220225,0.027882361150648995,TRUE,alpha_general,"alpha[4,1]",0.6454898979775,0.638626245,0.396773293,0.9160219519999999,1.0008318590329313,5395.440619040635,2527.650967450071,0.81247002
M7_single_alpha_full_response,1,0.059819732490370585,0.003578400395219498,TRUE,alpha_general,"alpha[5,1]",0.09541604649037058,0.028805406999999998,0.0024641205200000003,0.5370964829999997,1.0002896412739584,3757.04652102498,2748.350692362435,0.035596314
M7_single_alpha_full_response,1,-0.7834344570751053,0.6137695485325649,FALSE,alpha_general,"alpha[6,1]",0.20127778292489476,0.0717964115,0.009295347525,0.8320231544999996,1.001139354496763,4591.651350190053,2750.5052324490252,0.98471224
M7_single_alpha_full_response,1,0.19267538207052476,0.037123802856022695,TRUE,alpha_general,"alpha[7,1]",0.26057681607052474,0.11263354,0.0016353414250000005,0.9312015184999999,1.0013251068070725,7212.897244367977,2687.4841860347447,0.067901434
M7_single_alpha_full_response,1,-0.3317373726625737,0.1100496844210673,TRUE,alpha_general,"alpha[8,1]",0.3334397773374263,0.180667525,0.00181817821,0.9618900229999999,1.0004928106370572,7287.346819304745,3065.569040830936,0.66517715
M7_single_alpha_full_response,1,-0.281763319162454,0.07939056802544292,TRUE,alpha_general,"alpha[9,1]",0.242978060837546,0.135259785,0.0031150560949999998,0.8474417014999998,1.0034626278179533,6090.584744598276,2722.7564566101396,0.52474138
M7_single_alpha_full_response,1,6.89719405362575e-4,4.7571285813370405e-7,TRUE,alpha_general,"alpha[10,1]",0.001430291745362575,0.00120226685,1.17612567e-4,0.003576605384999995,0.9999316979010677,4239.914807727707,2867.9849473895742,7.4057234e-4
M7_single_alpha_full_response,1,0.4913218367600438,0.24139714727726314,TRUE,alpha_general,"alpha[11,1]",0.5327364167600438,0.55690655,0.03484733970000001,0.9702845119999999,1.001822416878257,6442.065442538116,2729.0986517349006,0.04141458
M7_single_alpha_full_response,1,0.002280869103999994,5.202363869581735e-6,TRUE,alpha_general,"alpha[12,1]",0.144381299104,0.135764615,0.06611511865,0.25071795249999995,0.9997279872829222,6015.127478174663,3292.1860846417408,0.14210043
M7_single_alpha_full_response,1,-0.5363354651553429,0.28765573118339804,TRUE,alpha_general,"alpha[13,1]",0.21279812484465707,0.0846132775,0.0013660171200000001,0.8448574294999996,1.0003625359821524,7600.9918917510495,2788.866914355336,0.74913359
M7_single_alpha_full_response,1,-0.7228774388266807,0.5225517915646214,FALSE,alpha_general,"alpha[14,1]",0.24126534117331933,0.0980807635,0.0016097647850000002,0.8980128074999998,1.0011400092841913,7389.353022091067,3045.6491001301624,0.96414278
M7_single_alpha_full_response,1,-0.31358680219957197,0.09833668251375348,TRUE,alpha_general,"alpha[15,1]",0.307151127800428,0.24800396,0.005851027655,0.8295510854999999,1.0014504791215395,4335.135709318866,2466.3993087914114,0.62073793
M7_single_alpha_full_response,1,0.175335498976672,0.030742537201398547,TRUE,alpha_general,"alpha[16,1]",0.253038663976672,0.10855229,0.001966557495,0.9232283319999995,1.0007869636397102,7544.254476914979,2599.1493652508757,0.077703165
M7_single_alpha_full_response,1,0.03653734152030878,0.0013349773253716801,TRUE,alpha_general,"alpha[17,1]",0.11605707652030878,0.0221389695,7.424406385000002e-4,0.6986593279999983,0.999698222056011,4722.729121293581,2756.751031738199,0.079519735
M7_single_alpha_full_response,1,-0.39796817942191764,0.15837867183239562,TRUE,alpha_general,"alpha[18,1]",0.2855500205780823,0.11579106,0.0010108523599999999,0.9245922944999991,0.9995454059135475,5596.327452512748,3571.820719172736,0.6835182
