model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M4_block_alpha_full_response,5,-0.5813176463374998,0.33793020594337053,TRUE,group_mu_alpha_stable_raw,mu_alpha_raw[1],-2.0763046463375,-2.0818263,-2.81839024,-1.3194593399999999,1.0009048016535709,1372.0666120656194,2419.6385278495213,-1.494987
M4_block_alpha_full_response,5,0.22382981651372513,0.05009978676056786,TRUE,group_mu_alpha_volatile_raw,mu_alpha_raw[2],-0.808249383486275,-0.810611425,-1.5373878149999998,-0.07516334595000015,1.0007379784412394,1034.9704491271532,1747.1764011618993,-1.0320792
M4_block_alpha_full_response,5,-0.022317741950000247,4.980816057468009e-4,TRUE,group_sigma_alpha_stable_raw,sigma_alpha_raw[1],2.54367095805,2.5258186,2.0318658849999998,3.1306744799999997,1.0006698860701606,2581.16629360476,2885.4575849098746,2.5659887
M4_block_alpha_full_response,5,0.007141514425000217,5.1001228282486185e-5,TRUE,group_sigma_alpha_volatile_raw,sigma_alpha_raw[2],2.439053314425,2.41602855,1.93691209,3.007478375,0.9998372566715505,2750.732487778399,2896.061625649475,2.4319118
M4_block_alpha_full_response,5,0.50696397781465,0.2570124748016529,FALSE,group_mu_beta_raw,mu_beta_raw,0.58371234081465,0.586354015,0.2677660875,0.8821894704999999,1.0028312863316091,684.016822940578,1269.780251336959,0.076748363
M4_block_alpha_full_response,5,-0.708542544185,0.5020325369201526,FALSE,group_sigma_beta_raw,sigma_beta_raw,1.362849755815,1.3507129,1.1254297300000002,1.64564034,1.0011492975503666,1341.2767277849778,1905.8451882208724,2.0713923
M4_block_alpha_full_response,5,-0.289212344566255,0.0836437802495102,TRUE,alpha_stable,"alpha[1,1]",0.510307085433745,0.526404055,0.0402950338,0.9599566169999998,1.0019187999891814,5414.076763328919,2916.7918346616325,0.79951943
M4_block_alpha_full_response,5,0.10072162009309077,0.010144844754176907,TRUE,alpha_stable,"alpha[2,1]",0.16642512809309076,0.0661208445,0.001883065865,0.7063101145,1.001598575006305,7402.67020864383,2792.2009736365567,0.065703508
M4_block_alpha_full_response,5,0.011060400449335001,1.223324580996499e-4,TRUE,alpha_stable,"alpha[3,1]",0.026103586449335,0.019548086,0.004954649215000001,0.06431232094999989,1.0005628178767565,5185.027314734337,2762.8077692061943,0.015043186
M4_block_alpha_full_response,5,-0.21008041760249996,0.04413378186004077,TRUE,alpha_stable,"alpha[4,1]",0.4363012623975,0.41923892500000004,0.219665923,0.7079519464999999,1.000548307332862,5750.1933694354175,2891.6939854729,0.64638168
M4_block_alpha_full_response,5,-0.06651919039870441,0.0044248026912990885,TRUE,alpha_stable,"alpha[5,1]",0.2566189696012956,0.16508518,0.006780345615,0.82272639,0.9997550936346657,7109.2014871496895,2515.2793352997974,0.32313816
M4_block_alpha_full_response,5,-0.204390785877055,0.04177559335144015,TRUE,alpha_stable,"alpha[6,1]",0.225587774122945,0.18049334,0.030434209900000002,0.6018063289999995,1.0002224175083843,6499.390553010352,2387.3698855179714,0.42997856
M4_block_alpha_full_response,5,0.16255074580978182,0.026422744963316303,TRUE,alpha_stable,"alpha[7,1]",0.21288272380978182,0.071261409,0.0010971935050000001,0.865012291,0.9995880751147213,7107.568994671974,2942.7914890216284,0.050331978
M4_block_alpha_full_response,5,0.14016627063302575,0.01964658342317062,TRUE,alpha_stable,"alpha[8,1]",0.23457277163302576,0.0844619815,0.00125617803,0.8909402119999998,1.0013286611722068,8989.420378561363,2724.5309211629105,0.094406501
M4_block_alpha_full_response,5,0.15274232518007158,0.023330217901414728,TRUE,alpha_stable,"alpha[9,1]",0.2093936801800716,0.0745082485,0.001347641475,0.8747094919999998,0.9998941584781916,8676.98067855759,2870.7664447375796,0.056651355
M4_block_alpha_full_response,5,0.0011451047517976776,1.3112648925896209e-6,TRUE,alpha_stable,"alpha[10,1]",0.0023624499517976775,0.00195086185,2.0703169450000003e-4,0.0060246613049999955,0.9998725175631733,3593.397632193936,3035.714151135224,0.0012173452
M4_block_alpha_full_response,5,-0.037720448973224185,0.0014228322707416094,TRUE,alpha_stable,"alpha[11,1]",0.13250230102677582,0.0891272485,0.003820748,0.42117524049999977,1.000094097763163,6644.962671708023,2503.9167051270324,0.17022275
M4_block_alpha_full_response,5,0.12475539160999999,0.015563907735764455,TRUE,alpha_stable,"alpha[12,1]",0.39823236161,0.393468235,0.2731740455,0.5342628354999999,1.000861695666467,4275.360987917607,2966.4136615833822,0.27347697
M4_block_alpha_full_response,5,0.0068261526197922195,4.659635958869618e-5,TRUE,alpha_stable,"alpha[13,1]",0.20063591261979222,0.080285189,0.0018914281450000002,0.819457857,1.000996025231373,8478.055759280176,2889.100356275499,0.19380976
