model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M3_block_alpha_stickiness,5,0.12140210724499978,0.014738471643526428,TRUE,group_mu_alpha_stable_raw,mu_alpha_raw[1],-2.314331992755,-2.317123,-3.164349575,-1.4509871450000005,1.0019868638950857,904.8954631950321,1741.9253193435566,-2.4357341
M3_block_alpha_stickiness,5,-1.1786437461350001,1.3892010803031467,FALSE,group_mu_alpha_volatile_raw,mu_alpha_raw[2],-1.4836075661350001,-1.4908869999999999,-2.1307568100000003,-0.8014559790000004,1.0051517827044743,1006.4749809671528,1776.0698865516022,-0.30496382
M3_block_alpha_stickiness,5,-0.16780600600000017,0.028158855649672094,TRUE,group_sigma_alpha_stable_raw,sigma_alpha_raw[1],2.806535494,2.78165815,2.25465004,3.4417803699999996,1.0010321833973448,2403.1337763973393,2722.544223640314,2.9743415
M3_block_alpha_stickiness,5,-0.44427737779999976,0.1973823884248437,TRUE,group_sigma_alpha_volatile_raw,sigma_alpha_raw[2],2.1314834222,2.1121011,1.6657284499999998,2.64762086,1.003739593980072,2002.717494498159,2428.267377099138,2.5757608
M3_block_alpha_stickiness,5,0.09826299265921351,0.009655615726344649,TRUE,group_mu_beta_raw,mu_beta_raw,0.3481362126592135,0.359714945,-0.02469361809999999,0.6983811349999989,1.0088877013671977,520.0865734604319,1014.1549718850215,0.24987322
M3_block_alpha_stickiness,5,-0.23525162310000014,0.055343326171184516,TRUE,group_sigma_beta_raw,sigma_beta_raw,1.5884615769,1.57576135,1.309325735,1.91830817,1.0022613515601373,828.3480927769656,1805.2461189784692,1.8237132
M3_block_alpha_stickiness,5,-0.3436865776046018,0.11812046362556398,TRUE,alpha_stable,"alpha[1,1]",0.4438931723953982,0.41832912499999997,0.0016777352250000005,0.983571043,1.0012888447487276,3195.2472267585194,2642.3011449320456,0.78757975
M3_block_alpha_stickiness,5,0.02831940749755995,8.019888410128546e-4,TRUE,alpha_stable,"alpha[2,1]",0.04069856649755995,0.008848923549999999,2.75871628e-4,0.1874184154999999,1.0012933307775485,3746.6030379101085,2156.149762730763,0.012379159
M3_block_alpha_stickiness,5,-0.006433868041795698,4.1394657979240006e-05,FALSE,alpha_stable,"alpha[3,1]",0.0025261980582043024,0.00162760605,7.314257520000002e-5,0.007827960639999998,0.9998290205361812,4899.896734137855,2551.221944446122,0.0089600661
M3_block_alpha_stickiness,5,-0.05263920555750001,0.00277088596172474,TRUE,alpha_stable,"alpha[4,1]",0.7979625444425,0.808512025,0.5656571235,0.9817018595,1.0004516130480032,4155.970388124528,2263.4832659327135,0.85060175
