model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M4_block_alpha_full_response,2,-1.0564700663925,1.1161290011833733,FALSE,group_mu_alpha_stable_raw,mu_alpha_raw[1],-2.5113202663925,-2.52248605,-3.2749775800000003,-1.7403326900000007,1.0022123987535478,1115.1356013743484,1951.1942904429814,-1.4548502
M4_block_alpha_full_response,2,0.07832675341874995,0.006135080301121657,TRUE,group_mu_alpha_volatile_raw,mu_alpha_raw[2],-1.56436704658125,-1.57833125,-2.251634755,-0.8216707075,1.0008806144382496,938.1827465502191,1617.6526503362452,-1.6426938
M4_block_alpha_full_response,2,-0.29771422202499975,0.08863375799595084,TRUE,group_sigma_alpha_stable_raw,sigma_alpha_raw[1],2.285554877975,2.2664356999999997,1.79964551,2.8372659949999997,1.0006144427708443,1936.0478882404711,2038.4738285354642,2.5832691
M4_block_alpha_full_response,2,-0.5430788410499998,0.294934627596211,TRUE,group_sigma_alpha_volatile_raw,sigma_alpha_raw[2],2.31960935895,2.2997809499999997,1.82291076,2.88438419,1.0007720182550168,2542.771684210438,3180.148842055864,2.8626882
M4_block_alpha_full_response,2,0.727379181317825,0.5290804734145893,FALSE,group_mu_beta_raw,mu_beta_raw,0.410275131317825,0.41832526000000003,0.06507540160000001,0.7386938979999998,1.0073840946610089,660.6211711826872,1122.9361501895428,-0.31710405
M4_block_alpha_full_response,2,-0.5725462035,0.3278091551422634,FALSE,group_sigma_beta_raw,sigma_beta_raw,1.4893342965,1.4726673,1.216837235,1.8172205,1.001965711526867,1075.166045202729,1644.2837763592192,2.0618805
M4_block_alpha_full_response,2,-0.3265948727221037,0.10666421088836711,TRUE,alpha_stable,"alpha[1,1]",0.20766978727789626,0.095214838,0.002978165865,0.7948197619999997,1.0000435360634254,6378.085824923739,2676.170706519395,0.53426466
M4_block_alpha_full_response,2,-0.48327546093147267,0.23355517113852736,TRUE,alpha_stable,"alpha[2,1]",0.2869356290685273,0.13696334,0.002318871975,0.8981999779999998,0.9994464384586578,5144.2919938971045,3388.095835941027,0.77021109
M4_block_alpha_full_response,2,0.04216098967544037,0.0017775490504125897,TRUE,alpha_stable,"alpha[3,1]",0.048943276475440375,0.0132504655,6.786974650000001e-4,0.22664020399999957,1.000555890389739,4020.6922203429112,2980.7591222564033,0.0067822868
M4_block_alpha_full_response,2,-0.3551474343398147,0.126129700118153,TRUE,alpha_stable,"alpha[4,1]",0.2842420756601853,0.232332665,0.0033492435850000007,0.7374443044999999,1.0004554288928789,3484.6620371501317,3084.7472302885303,0.63938951
M4_block_alpha_full_response,2,0.05194667183726286,0.0026984567149682787,TRUE,alpha_stable,"alpha[5,1]",0.06386726783726286,0.00745853405,4.1379573300000006e-4,0.4486251519999995,1.0010945127933515,3603.135044154812,2616.519408499197,0.011920596
M4_block_alpha_full_response,2,-0.3192202880922292,0.1019015923296858,TRUE,alpha_stable,"alpha[6,1]",0.33333680190777076,0.29965205,0.013772621900000002,0.8081142364999991,1.000540071754331,4444.331370337192,2719.123638253024,0.65255709
