model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M7_single_alpha_full_response,3,-1.668064162789125,2.782438051181385,FALSE,group_mu_alpha_general_raw,mu_alpha_raw[1],-1.601831182789125,-1.60735015,-2.3692099100000004,-0.8218971805,1.0032024339282963,877.702906200964,1347.3207079122292,0.06623298
M7_single_alpha_full_response,3,-0.6737988707999998,0.4540049182913548,FALSE,group_sigma_alpha_general_raw,sigma_alpha_raw[1],2.6582268292,2.63675435,2.1545915300000003,3.250631189999999,1.0008375535176162,2198.169958902849,2401.9896164734123,3.3320257
M7_single_alpha_full_response,3,0.015473289656744549,2.3942269280151783e-4,TRUE,group_mu_beta_raw,mu_beta_raw,0.2866286096567445,0.29434147,-0.08030524624999998,0.6423976895,1.0100581502919987,616.1722660776131,1186.0195866415147,0.27115532
M7_single_alpha_full_response,3,0.1455176425,0.021175384278757804,TRUE,group_sigma_beta_raw,sigma_beta_raw,1.5381496425,1.5209747500000002,1.25375286,1.87692594,1.0013996071731057,1138.0910380918408,1704.1312516874425,1.392632
M7_single_alpha_full_response,3,-0.5454494067928267,0.29751505537064654,FALSE,alpha_general,"alpha[1,1]",0.39815719320717324,0.37659322500000003,0.0037189927550000004,0.934272356,1.000234583156925,4655.7936218214645,3036.752086164464,0.9436066
M7_single_alpha_full_response,3,0.3170869124541447,0.10054411004970244,FALSE,alpha_general,"alpha[2,1]",0.31763553140414474,0.20567999,0.0025189300350000002,0.9388260319999999,0.9997293267708082,6889.6120055071715,3091.304080222975,5.4861895e-4
M7_single_alpha_full_response,3,-0.089738545879913,0.008053006616641252,TRUE,alpha_general,"alpha[3,1]",0.096378664120087,0.0837737385,0.00918120316,0.21918431949999984,1.0009189920850743,2647.8074281563827,1251.7039996644503,0.18611721
M7_single_alpha_full_response,3,-0.0675831338865,0.004567479985920585,TRUE,alpha_general,"alpha[4,1]",0.4740214661135,0.449057705,0.2606796045,0.777837626,1.0011865288906867,4326.045282595863,1821.8979709777464,0.5416046
M7_single_alpha_full_response,3,0.44838625709925006,0.20105023555547477,FALSE,alpha_general,"alpha[5,1]",0.55261584709925,0.536147735,0.2120812905,0.93724699,1.000431138206024,5387.013147870525,2294.482864767804,0.10422959
M7_single_alpha_full_response,3,-0.232614867805795,0.05410967672430748,FALSE,alpha_general,"alpha[6,1]",0.757150412194205,0.80916097,0.330421309,0.9881197265,1.001883397353415,5842.115678032103,1964.7053639841997,0.98976528
