model,replication,parameter_class,n_parameters,pearson_r,spearman_rho,mean_bias,rmse,interval_coverage
M3_block_alpha_stickiness,1,alpha_stable,65,0.5584090840421686,0.5939685314685315,-0.1221811762681859,0.32395815215933305,0.8
M3_block_alpha_stickiness,1,alpha_volatile,65,0.705818947779285,0.7141171328671329,-0.02190708292293831,0.25203390486622484,0.8923076923076924
M3_block_alpha_stickiness,1,beta,65,0.9914109505147334,0.9114947552447552,0.17503774953966672,1.2988637143824309,0.8
M3_block_alpha_stickiness,1,delta_alpha,65,0.5173932180716521,0.5156031468531469,0.10027409379424031,0.3608110067740248,0.8615384615384616
M3_block_alpha_stickiness,1,delta_log_alpha,65,0.4325776967101181,0.4728583916083916,0.6723929775411247,2.214861573923155,0.8615384615384616
M3_block_alpha_stickiness,1,rho,65,0.9401721545581216,0.9410839160839161,0.023733178427085517,0.22612480651984557,0.9076923076923077
M3_block_alpha_stickiness,2,alpha_stable,65,0.6296771857326767,0.6501311188811189,-0.04068486064930847,0.2532966046046033,0.7538461538461538
M3_block_alpha_stickiness,2,alpha_volatile,65,0.6878642402764314,0.7074737762237763,-0.07072970933109557,0.27821428090173655,0.8153846153846154
M3_block_alpha_stickiness,2,beta,65,0.9890367851615935,0.8975087412587412,-0.8272621484780721,5.854292989397495,0.6923076923076923
M3_block_alpha_stickiness,2,delta_alpha,65,0.49644622869423,0.5663898601398601,-0.03004484916746224,0.33814972911724855,0.9230769230769231
M3_block_alpha_stickiness,2,delta_log_alpha,65,0.582850622658912,0.6710227272727273,-0.1414823204126048,1.9981453789595134,0.8307692307692308
M3_block_alpha_stickiness,2,rho,65,0.9352388156024342,0.9166083916083916,-0.06501739649183151,0.2566304154755135,0.8769230769230769
M3_block_alpha_stickiness,3,alpha_stable,65,0.5987121106477337,0.5832167832167832,-0.029062187413271913,0.26057964492679814,0.9076923076923077
M3_block_alpha_stickiness,3,alpha_volatile,65,0.6912776714254077,0.6574300699300699,-0.03935694479580713,0.22506751576570191,0.9076923076923077
M3_block_alpha_stickiness,3,beta,65,0.939078155186303,0.9312937062937063,-2.8864452007284425,23.244235504661564,0.8461538461538461
M3_block_alpha_stickiness,3,delta_alpha,65,0.4507423049780069,0.503277972027972,-0.010294757835986636,0.3397284602596058,0.9076923076923077
M3_block_alpha_stickiness,3,delta_log_alpha,65,0.5349836660963814,0.5640734265734266,-0.12481953567993494,1.5874333115337933,0.9076923076923077
M3_block_alpha_stickiness,3,rho,65,0.9254960917864734,0.89256993006993,-0.023343940596904166,0.2604178001825616,0.8153846153846154
M3_block_alpha_stickiness,4,alpha_stable,65,0.5464556171412496,0.5859265734265734,-0.0988158754311746,0.30404036513375426,0.7846153846153846
M3_block_alpha_stickiness,4,alpha_volatile,65,0.6322645054341827,0.6822552447552448,-0.10403289001452982,0.3011425039763073,0.7692307692307693
M3_block_alpha_stickiness,4,beta,65,0.9889703324476817,0.9236451048951049,-1.1692438674133308,10.659971529158177,0.8153846153846154
M3_block_alpha_stickiness,4,delta_alpha,65,0.4989960333983458,0.58243006993007,-0.005217014374724247,0.35494408707481984,0.8615384615384616
M3_block_alpha_stickiness,4,delta_log_alpha,65,0.5242868723493354,0.5401223776223776,-0.04256929128934246,1.5839159220388794,0.9538461538461539
M3_block_alpha_stickiness,4,rho,65,0.9268631182285096,0.8899475524475524,0.015580681188896743,0.24478987649456113,0.9076923076923077
