model,ppc_draw,metric,value
M3_block_alpha_stickiness,18,choose_blue,0.5292307692307693
M3_block_alpha_stickiness,18,stay_rate,0.6125404007756949
M3_block_alpha_stickiness,18,switch_after_loss,0.46048502139800285
M3_block_alpha_stickiness,18,switch_after_no_loss,0.32695035460992905
M3_block_alpha_stickiness,19,optimal_choice,0.5934065934065934
M3_block_alpha_stickiness,19,choose_blue,0.5148717948717949
M3_block_alpha_stickiness,19,stay_rate,0.6186166774402069
M3_block_alpha_stickiness,19,switch_after_loss,0.44647372857544254
M3_block_alpha_stickiness,19,switch_after_no_loss,0.32590996168582376
M3_block_alpha_stickiness,20,optimal_choice,0.5984486102133161
M3_block_alpha_stickiness,20,choose_blue,0.5111538461538462
M3_block_alpha_stickiness,20,stay_rate,0.611764705882353
M3_block_alpha_stickiness,20,switch_after_loss,0.4477780922728559
M3_block_alpha_stickiness,20,switch_after_no_loss,0.3381722989052832
M3_block_alpha_stickiness,21,optimal_choice,0.6089204912734324
M3_block_alpha_stickiness,21,choose_blue,0.5111538461538462
M3_block_alpha_stickiness,21,stay_rate,0.6010342598577892
M3_block_alpha_stickiness,21,switch_after_loss,0.46859226023555806
M3_block_alpha_stickiness,21,switch_after_no_loss,0.3394099304389542
M3_block_alpha_stickiness,22,optimal_choice,0.6046541693600517
M3_block_alpha_stickiness,22,choose_blue,0.5125641025641026
M3_block_alpha_stickiness,22,stay_rate,0.6074983839689722
M3_block_alpha_stickiness,22,switch_after_loss,0.4659627674353987
M3_block_alpha_stickiness,22,switch_after_no_loss,0.32857833655706
M3_block_alpha_stickiness,23,optimal_choice,0.604524886877828
M3_block_alpha_stickiness,23,choose_blue,0.538974358974359
M3_block_alpha_stickiness,23,stay_rate,0.6230122818358113
M3_block_alpha_stickiness,23,switch_after_loss,0.4561655648174763
M3_block_alpha_stickiness,23,switch_after_no_loss,0.31226503759398494
M3_block_alpha_stickiness,24,optimal_choice,0.6118939883645766
M3_block_alpha_stickiness,24,choose_blue,0.5228205128205128
M3_block_alpha_stickiness,24,stay_rate,0.6024563671622495
M3_block_alpha_stickiness,24,switch_after_loss,0.4671825738033821
M3_block_alpha_stickiness,24,switch_after_no_loss,0.3403203014601978
M3_block_alpha_stickiness,25,optimal_choice,0.589010989010989
M3_block_alpha_stickiness,25,choose_blue,0.522948717948718
M3_block_alpha_stickiness,25,stay_rate,0.6068519715578539
M3_block_alpha_stickiness,25,switch_after_loss,0.45599122566493006
M3_block_alpha_stickiness,25,switch_after_no_loss,0.33708414872798437
M3_block_alpha_stickiness,26,optimal_choice,0.5931480284421461
M3_block_alpha_stickiness,26,choose_blue,0.5443589743589744
M3_block_alpha_stickiness,26,stay_rate,0.6093083387201034
M3_block_alpha_stickiness,26,switch_after_loss,0.44777373284794175
M3_block_alpha_stickiness,26,switch_after_no_loss,0.34173871277617673
M3_block_alpha_stickiness,27,optimal_choice,0.6029734970911441
M3_block_alpha_stickiness,27,choose_blue,0.5108974358974359
M3_block_alpha_stickiness,27,stay_rate,0.6111182934712347
M3_block_alpha_stickiness,27,switch_after_loss,0.4651293588301462
M3_block_alpha_stickiness,27,switch_after_no_loss,0.3240009571667863
M3_block_alpha_stickiness,28,optimal_choice,0.6019392372333549
M3_block_alpha_stickiness,28,choose_blue,0.5152564102564102
M3_block_alpha_stickiness,28,stay_rate,0.6100840336134454
M3_block_alpha_stickiness,28,switch_after_loss,0.45885634588563456
M3_block_alpha_stickiness,28,switch_after_no_loss,0.33036144578313253
M3_block_alpha_stickiness,29,optimal_choice,0.5994828700711053
M3_block_alpha_stickiness,29,choose_blue,0.5184615384615384
M3_block_alpha_stickiness,29,stay_rate,0.60530058177117
M3_block_alpha_stickiness,29,switch_after_loss,0.4615827338129496
M3_block_alpha_stickiness,29,switch_after_no_loss,0.3401408450704225
M3_block_alpha_stickiness,30,optimal_choice,0.5873303167420815
M3_block_alpha_stickiness,30,choose_blue,0.5165384615384615
M3_block_alpha_stickiness,30,stay_rate,0.6091790562378797
M3_block_alpha_stickiness,30,switch_after_loss,0.45304777594728174
M3_block_alpha_stickiness,30,switch_after_no_loss,0.3354507696066455
M3_block_alpha_stickiness,31,optimal_choice,0.5926308985132515
M3_block_alpha_stickiness,31,choose_blue,0.5355128205128206
M3_block_alpha_stickiness,31,stay_rate,0.6077569489334195
M3_block_alpha_stickiness,31,switch_after_loss,0.46704384724186704
M3_block_alpha_stickiness,31,switch_after_no_loss,0.3292857142857143
M3_block_alpha_stickiness,32,optimal_choice,0.600387847446671
M3_block_alpha_stickiness,32,choose_blue,0.5298717948717949
M3_block_alpha_stickiness,32,stay_rate,0.6073691014867485
M3_block_alpha_stickiness,32,switch_after_loss,0.47245883021010787
M3_block_alpha_stickiness,32,switch_after_no_loss,0.3258960360788037
M3_block_alpha_stickiness,33,optimal_choice,0.5972850678733032
M3_block_alpha_stickiness,33,choose_blue,0.5152564102564102
M3_block_alpha_stickiness,33,stay_rate,0.6125404007756949
M3_block_alpha_stickiness,33,switch_after_loss,0.45420932878270764
M3_block_alpha_stickiness,33,switch_after_no_loss,0.33183218772220907
M3_block_alpha_stickiness,34,optimal_choice,0.609049773755656
M3_block_alpha_stickiness,34,choose_blue,0.5173076923076924
M3_block_alpha_stickiness,34,stay_rate,0.6107304460245637
M3_block_alpha_stickiness,34,switch_after_loss,0.4631639063392347
M3_block_alpha_stickiness,34,switch_after_no_loss,0.3281360737065911
M3_block_alpha_stickiness,35,optimal_choice,0.5931480284421461
M3_block_alpha_stickiness,35,choose_blue,0.5253846153846153
M3_block_alpha_stickiness,35,stay_rate,0.6068519715578539
M3_block_alpha_stickiness,35,switch_after_loss,0.4709187974150042
M3_block_alpha_stickiness,35,switch_after_no_loss,0.32686781609195403
M3_block_alpha_stickiness,36,optimal_choice,0.5904330963154493
M3_block_alpha_stickiness,36,choose_blue,0.5291025641025641
M3_block_alpha_stickiness,36,stay_rate,0.6059469941822883
M3_block_alpha_stickiness,36,switch_after_loss,0.45189908511228166
M3_block_alpha_stickiness,36,switch_after_no_loss,0.3435077519379845
M3_block_alpha_stickiness,37,optimal_choice,0.6038784744667097
M3_block_alpha_stickiness,37,choose_blue,0.5155128205128205
M3_block_alpha_stickiness,37,stay_rate,0.6091790562378797
M3_block_alpha_stickiness,37,switch_after_loss,0.47160068846815834
M3_block_alpha_stickiness,37,switch_after_no_loss,0.3245469522240527
M3_block_alpha_stickiness,38,optimal_choice,0.6029734970911441
M3_block_alpha_stickiness,38,choose_blue,0.5187179487179487
M3_block_alpha_stickiness,38,stay_rate,0.610989010989011
M3_block_alpha_stickiness,38,switch_after_loss,0.4601919819311124
M3_block_alpha_stickiness,38,switch_after_no_loss,0.328881469115192
M3_block_alpha_stickiness,39,optimal_choice,0.5850032320620556
