model,ppc_draw,condition,metric,value
M3_block_alpha_stickiness,4,Volatile2,switch_after_loss,0.4738675958188153
M3_block_alpha_stickiness,4,Volatile2,switch_after_no_loss,0.31267217630853994
M3_block_alpha_stickiness,4,Volatile3,optimal_choice,0.5676923076923077
M3_block_alpha_stickiness,4,Volatile3,choose_blue,0.44384615384615383
M3_block_alpha_stickiness,4,Volatile3,stay_rate,0.5907692307692308
M3_block_alpha_stickiness,4,Volatile3,switch_after_loss,0.46608695652173915
M3_block_alpha_stickiness,4,Volatile3,switch_after_no_loss,0.3641379310344828
M3_block_alpha_stickiness,5,Stable,optimal_choice,0.5987179487179487
M3_block_alpha_stickiness,5,Stable,choose_blue,0.5674358974358974
M3_block_alpha_stickiness,5,Stable,stay_rate,0.6091264667535854
M3_block_alpha_stickiness,5,Stable,switch_after_loss,0.44931662870159456
M3_block_alpha_stickiness,5,Stable,switch_after_no_loss,0.3415103415103415
M3_block_alpha_stickiness,5,Volatile1,optimal_choice,0.5976923076923077
M3_block_alpha_stickiness,5,Volatile1,choose_blue,0.42
M3_block_alpha_stickiness,5,Volatile1,stay_rate,0.6192307692307693
M3_block_alpha_stickiness,5,Volatile1,switch_after_loss,0.44880546075085326
M3_block_alpha_stickiness,5,Volatile1,switch_after_no_loss,0.32492997198879553
M3_block_alpha_stickiness,5,Volatile2,optimal_choice,0.6105263157894737
M3_block_alpha_stickiness,5,Volatile2,choose_blue,0.5623076923076923
M3_block_alpha_stickiness,5,Volatile2,stay_rate,0.5923076923076923
M3_block_alpha_stickiness,5,Volatile2,switch_after_loss,0.4708904109589041
M3_block_alpha_stickiness,5,Volatile2,switch_after_no_loss,0.35614525139664804
M3_block_alpha_stickiness,5,Volatile3,optimal_choice,0.57
M3_block_alpha_stickiness,5,Volatile3,choose_blue,0.4461538461538462
M3_block_alpha_stickiness,5,Volatile3,stay_rate,0.6015384615384616
M3_block_alpha_stickiness,5,Volatile3,switch_after_loss,0.47854785478547857
M3_block_alpha_stickiness,5,Volatile3,switch_after_no_loss,0.3285302593659942
M3_block_alpha_stickiness,6,Stable,optimal_choice,0.6146153846153846
M3_block_alpha_stickiness,6,Stable,choose_blue,0.57
M3_block_alpha_stickiness,6,Stable,stay_rate,0.6130378096479792
M3_block_alpha_stickiness,6,Stable,switch_after_loss,0.46162592382035245
M3_block_alpha_stickiness,6,Stable,switch_after_no_loss,0.3236994219653179
M3_block_alpha_stickiness,6,Volatile1,optimal_choice,0.6015384615384616
M3_block_alpha_stickiness,6,Volatile1,choose_blue,0.4207692307692308
M3_block_alpha_stickiness,6,Volatile1,stay_rate,0.5869230769230769
M3_block_alpha_stickiness,6,Volatile1,switch_after_loss,0.49417637271214643
M3_block_alpha_stickiness,6,Volatile1,switch_after_no_loss,0.34334763948497854
M3_block_alpha_stickiness,6,Volatile2,optimal_choice,0.631578947368421
M3_block_alpha_stickiness,6,Volatile2,choose_blue,0.5807692307692308
M3_block_alpha_stickiness,6,Volatile2,stay_rate,0.6376923076923077
M3_block_alpha_stickiness,6,Volatile2,switch_after_loss,0.4388609715242881
M3_block_alpha_stickiness,6,Volatile2,switch_after_no_loss,0.2972972972972973
M3_block_alpha_stickiness,6,Volatile3,optimal_choice,0.5792307692307692
M3_block_alpha_stickiness,6,Volatile3,choose_blue,0.42153846153846153
M3_block_alpha_stickiness,6,Volatile3,stay_rate,0.5746153846153846
M3_block_alpha_stickiness,6,Volatile3,switch_after_loss,0.5145797598627787
M3_block_alpha_stickiness,6,Volatile3,switch_after_no_loss,0.3528591352859135
M3_block_alpha_stickiness,7,Stable,optimal_choice,0.6138461538461538
M3_block_alpha_stickiness,7,Stable,choose_blue,0.5938461538461538
M3_block_alpha_stickiness,7,Stable,stay_rate,0.6106910039113429
M3_block_alpha_stickiness,7,Stable,switch_after_loss,0.47761194029850745
M3_block_alpha_stickiness,7,Stable,switch_after_no_loss,0.31581462016244627
M3_block_alpha_stickiness,7,Volatile1,optimal_choice,0.5938461538461538
M3_block_alpha_stickiness,7,Volatile1,choose_blue,0.4269230769230769
M3_block_alpha_stickiness,7,Volatile1,stay_rate,0.5907692307692308
M3_block_alpha_stickiness,7,Volatile1,switch_after_loss,0.48184818481848185
M3_block_alpha_stickiness,7,Volatile1,switch_after_no_loss,0.345821325648415
M3_block_alpha_stickiness,7,Volatile2,optimal_choice,0.6089068825910932
M3_block_alpha_stickiness,7,Volatile2,choose_blue,0.56
M3_block_alpha_stickiness,7,Volatile2,stay_rate,0.6
M3_block_alpha_stickiness,7,Volatile2,switch_after_loss,0.4585537918871252
M3_block_alpha_stickiness,7,Volatile2,switch_after_no_loss,0.35470668485675305
M3_block_alpha_stickiness,7,Volatile3,optimal_choice,0.5838461538461538
M3_block_alpha_stickiness,7,Volatile3,choose_blue,0.4230769230769231
M3_block_alpha_stickiness,7,Volatile3,stay_rate,0.6153846153846154
M3_block_alpha_stickiness,7,Volatile3,switch_after_loss,0.44983818770226536
M3_block_alpha_stickiness,7,Volatile3,switch_after_no_loss,0.3255131964809384
M3_block_alpha_stickiness,8,Stable,optimal_choice,0.59
M3_block_alpha_stickiness,8,Stable,choose_blue,0.5520512820512821
M3_block_alpha_stickiness,8,Stable,stay_rate,0.608083441981747
M3_block_alpha_stickiness,8,Stable,switch_after_loss,0.4518398268398268
M3_block_alpha_stickiness,8,Stable,switch_after_no_loss,0.3361852038248616
M3_block_alpha_stickiness,8,Volatile1,optimal_choice,0.6361538461538462
M3_block_alpha_stickiness,8,Volatile1,choose_blue,0.38769230769230767
M3_block_alpha_stickiness,8,Volatile1,stay_rate,0.6030769230769231
M3_block_alpha_stickiness,8,Volatile1,switch_after_loss,0.523719165085389
M3_block_alpha_stickiness,8,Volatile1,switch_after_no_loss,0.31047865459249674
M3_block_alpha_stickiness,8,Volatile2,optimal_choice,0.6234817813765182
M3_block_alpha_stickiness,8,Volatile2,choose_blue,0.5784615384615385
M3_block_alpha_stickiness,8,Volatile2,stay_rate,0.6030769230769231
M3_block_alpha_stickiness,8,Volatile2,switch_after_loss,0.48717948717948717
M3_block_alpha_stickiness,8,Volatile2,switch_after_no_loss,0.3230769230769231
M3_block_alpha_stickiness,8,Volatile3,optimal_choice,0.5638461538461539
M3_block_alpha_stickiness,8,Volatile3,choose_blue,0.4492307692307692
M3_block_alpha_stickiness,8,Volatile3,stay_rate,0.5938461538461538
M3_block_alpha_stickiness,8,Volatile3,switch_after_loss,0.484375
M3_block_alpha_stickiness,8,Volatile3,switch_after_no_loss,0.3303030303030303
M3_block_alpha_stickiness,9,Stable,optimal_choice,0.5992307692307692
M3_block_alpha_stickiness,9,Stable,choose_blue,0.5776923076923077
M3_block_alpha_stickiness,9,Stable,stay_rate,0.6127770534550195
M3_block_alpha_stickiness,9,Stable,switch_after_loss,0.464804469273743
M3_block_alpha_stickiness,9,Stable,switch_after_no_loss,0.31931540342298287
M3_block_alpha_stickiness,9,Volatile1,optimal_choice,0.5930769230769231
M3_block_alpha_stickiness,9,Volatile1,choose_blue,0.4461538461538462
M3_block_alpha_stickiness,9,Volatile1,stay_rate,0.6138461538461538
M3_block_alpha_stickiness,9,Volatile1,switch_after_loss,0.4576
M3_block_alpha_stickiness,9,Volatile1,switch_after_no_loss,0.32
M3_block_alpha_stickiness,9,Volatile2,optimal_choice,0.6137651821862348
M3_block_alpha_stickiness,9,Volatile2,choose_blue,0.5823076923076923
M3_block_alpha_stickiness,9,Volatile2,stay_rate,0.6176923076923077
M3_block_alpha_stickiness,9,Volatile2,switch_after_loss,0.45901639344262296
M3_block_alpha_stickiness,9,Volatile2,switch_after_no_loss,0.3262316910785619
M3_block_alpha_stickiness,9,Volatile3,optimal_choice,0.5792307692307692
M3_block_alpha_stickiness,9,Volatile3,choose_blue,0.42923076923076925
M3_block_alpha_stickiness,9,Volatile3,stay_rate,0.5938461538461538
M3_block_alpha_stickiness,9,Volatile3,switch_after_loss,0.49506578947368424
M3_block_alpha_stickiness,9,Volatile3,switch_after_no_loss,0.32803468208092484
M3_block_alpha_stickiness,10,Stable,optimal_choice,0.6064102564102564
M3_block_alpha_stickiness,10,Stable,choose_blue,0.571025641025641
